index,firstname,lastname,countrycode,country,sex,type,rule,infractiondate,ineligibleyears,sanction,ineligabletodate,actualyear,yeargap,occurance,a,b,c,year
1,Elizaveta,Grechishnikova,RUS,Russia,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,8/18/2009,2,2 years ineligibility,10/15/2015,6.2,4.2,43,Use/attempted use of a prohibited substance/method,,,2009
2,Nina,Okhotnikova,RUS,Russia,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,6/21/2011,2,2 years ineligibility,1/21/2017,5.6,3.6,43,Use/attempted use of a prohibited substance/method,,,2011
3,Darya,Pischalnikova,RUS,Russia,F,AAF,Oxandrolone,5/20/2012,10,10 years ineligibility (2nd ADRV),11/1/2022,10.5,0.5,43,Oxandrolone,,,2012
4,Yuliya,Tutayeva-Nevyantseva,RUS,Russia,F,AAF,Acetazolamide,2/26/2014,2,2 years ineligibility,8/6/2016,2.4,0.4,43,Acetazolamide,,,2014
5,Elena,Tarakanova,RUS,Russia,F,IAAF Rule 32.2c,Refusal,7/12/2014,2,2 years ineligibility,12/21/2016,2.4,0.4,43,Refusal,,,2014
6,Kristina,Ilyushova,RUS,Russia,F,AAF,Dehydrochloromethyltestosterone,2/26/2015,4,4 years ineligibility,3/16/2019,4.1,0.1,43,Dehydrochloromethyltestosterone,,,2015
7,Elena,Lashmanova,RUS,Russia,F,AAF,GW1516,1/4/2014,2,2 years ineligibility,2/25/2016,2.1,0.1,43,GW1516,,,2014
8,Aleksandra,Gulyaeva,RUS,Russia,F,AAF,Prasterone,12/22/2013,2,2 years ineligibility,1/20/2016,2.1,0.1,43,Prasterone,,,2013
9,Anna,Yagupova,RUS,Russia,F,AAF,Dehyrdochloromethyltestosterone & Stanozolol,7/12/2014,2,2 years ineligibility ;,7/22/2016,2,0,43,Dehyrdochloromethyltestosterone,Stanozolol,,2014
10,Lada,Chernova,RUS,Russia,F,AAF,Bromantan,2/29/2012,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,43,Bromantan,,,2012
11,Elena,Paushkina,RUS,Russia,F,AAF,Clenbuterol,4/16/2014,2,2 years ineligibility,4/23/2016,2,0,43,Clenbuterol,,,2014
12,Olga,Paushkina,RUS,Russia,F,AAF,Clenbuterol,4/16/2014,2,2 years ineligibility,4/23/2016,2,0,43,Clenbuterol,,,2014
13,Yevgeniya,Ivanova,RUS,Russia,F,AAF,Dehydrochloromethyltestosterone,8/1/2014,2,2 years ineligibility,8/12/2016,2,0,43,Dehydrochloromethyltestosterone,,,2014
14,Yevgeniya,Pecherina,RUS,Russia,F,AAF,Dehydrochloromethyltestosterone,6/23/2013,10,10 years ineligibility,6/23/2023,10,0,43,Dehydrochloromethyltestosterone,,,2013
15,Azalya,Valeeva,RUS,Russia,F,AAF,Fonturacetam,7/12/2014,2,2 years ineligibility,7/22/2016,2,0,43,Fonturacetam,,,2014
16,Tatyana,Akulinushkina,RUS,Russia,F,AAF,Furosemide,2/20/2015,4,4 years ineligibility,3/1/2019,4,0,43,Furosemide,,,2015
17,Tatyana,Dektyareva,RUS,Russia,F,AAF,Ostarine,12/9/2014,2,2 years ineligibility,12/17/2016,2,0,43,Ostarine,,,2014
18,Svetlana,Komarova,RUS,Russia,F,AAF,Oxandrolone,12/22/2013,2,2 years ineligibility,1/9/2016,2,0,43,Oxandrolone,,,2013
19,Svetlana,Denyaeva-Biryukova,RUS,Russia,F,AAF,SARMs,2/26/2014,2,2 years ineligibility,3/3/2016,2,0,43,SARMs,,,2014
20,Nadezhda,Mokeeva,RUS,Russia,F,AAF,SARMs,3/23/2014,2,2 years ineligibility,4/2/2016,2,0,43,SARMs,,,2014
21,Irina,Yumanova,RUS,Russia,F,AAF,SARMs,3/22/2014,2,2 years ineligibility,4/2/2016,2,0,43,SARMs,,,2014
22,Polina,Dontsova,RUS,Russia,F,AAF,SARMs,4/26/2014,2,2 years ineligibility,5/11/2016,2,0,43,SARMs,,,2014
23,Elena,Ryabenko,RUS,Russia,F,AAF,Stanozolol,7/14/2014,2,2 years ineligibility,7/27/2016,2,0,43,Stanozolol,,,2014
24,Irina,Khorzanenko,RUS,Russia,F,AAF,Stanozolol,8/18/2004,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,43,Stanozolol,,,2004
25,Natalya,Shekhodanova,RUS,Russia,F,AAF,Stanozolol,2/22/2004,100,Lifetime ban,Lifetime ban,100,0,43,Stanozolol,,,2004
26,Andrey,Ruzavin,RUS,Russia,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,12/18/2011,2.5,2 years and 6 months ineligibility ; Disq. of results: from 18.12.11 to 18.02.12 and 13.09.13 to 13.11.13,4/8/2017,5.3,2.8,43,Use/attempted use of a prohibited substance/method,,,2011
27,Stanislav,Mokin,RUS,Russia,M,IAAF rule 32.2f; IAAF Rule 32.2 (b),Possession of a prohibited substance; Use of a prohibited substance,4/25/2014,2,2 years ineligibility,10/12/2016,2.5,0.5,43,Possession of a prohibited substance,Use of a prohibited substance,,2014
28,Mikhail,Feropontov,RUS,Russia,M,IAAF Rule 32.2c,Refusal,7/12/2014,2,2 years ineligibility,11/12/2016,2.3,0.3,43,Refusal,,,2014
29,Yevgeniy,Ustavshchikov,RUS,Russia,M,AAF,Amphetamine,12/22/2013,2,2 years ineligibility,1/13/2016,2.1,0.1,43,Amphetamine,,,2013
30,Alexander,Gnezdilov,RUS,Russia,M,AAF,Oxandrolone,12/22/2013,4,4 years ineligibility,1/13/2018,4.1,0.1,43,Oxandrolone,,,2013
31,Yuriy,Andronov,RUS,Russia,M,AAF,Trimetazidine,5/3/2014,2,2 years ineligibility,6/15/2016,2.1,0.1,43,Trimetazidine,,,2014
32,Uliyana,Sharikova,RUS,Russia,M,AAF,Bromantan,3/30/2014,2,2 years ineligibility,4/7/2016,2,0,43,Bromantan,,,2014
33,Damir,Saurbaev,RUS,Russia,M,AAF,Bromantan,7/15/2014,2,2 years ineligibility,7/27/2016,2,0,43,Bromantan,,,2014
34,Vyacheslav,Shalamov,RUS,Russia,M,AAF,Dehydrochloromethyltestosterone,4/16/2014,2,2 years ineligibility,4/23/2016,2,0,43,Dehydrochloromethyltestosterone,,,2014
35,Andrei,Khizbulin,RUS,Russia,M,AAF,Dehydrochloromethyltestosterone,7/12/2014,2,2 years ineligibility,7/21/2016,2,0,43,Dehydrochloromethyltestosterone,,,2014
36,Dimitriy,Khomutov,RUS,Russia,M,AAF,Metenolone,7/14/2014,2,2 years ineligibility,7/27/2016,2,0,43,Metenolone,,,2014
37,Vitaliy,Ryzhikov,RUS,Russia,M,AAF,Methylhexaneamine,12/20/2014,1.5,1 year and 6 months ineligibility,6/24/2016,1.5,0,43,Methylhexaneamine,,,2014
38,Valentin,Kruglyakov,RUS,Russia,M,AAF,Nandrolone,2/13/2013,4,4 years ineligibility,2/20/2017,4,0,43,Nandrolone,,,2013
39,Roman,Semakin,RUS,Russia,M,AAF,SARMs,2/26/2014,2,2 years ineligibility,3/3/2016,2,0,43,SARMs,,,2014
40,Dimitriy,Sintsov,RUS,Russia,M,AAF,Stanozolol,7/12/2014,3,3 years ineligibility,7/22/2017,3,0,43,Stanozolol,,,2014
41,Viktor,Saenko,RUS,Russia,M,AAF,Torasemide,3/30/2014,2,2 years ineligibility,4/7/2016,2,0,43,Torasemide,,,2014
42,Igor,Erokhin,RUS,Russia,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,2/25/2011,100,Lifetime ban as from 25.02.11,Lifetime ban,100,0,43,Use/attempted use of a prohibited substance/method,,,2011
43,Sergey,Morozov,RUS,Russia,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,2/25/2011,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,43,Use/attempted use of a prohibited substance/method,,,2011
44,Seema,Jhakar,IND,India,F,AAF,Stanozolol,11/19/2009,8,8 years ineligibility (2nd ADRV),8/30/2018,8.8,0.8,34,Stanozolol,,,2009
45,Udaya,Laxmi,IND,India,F,AAF,Methylhexaneamine,6/5/2013,2,2 years ineligibility,11/19/2015,2.5,0.5,34,Methylhexaneamine,,,2013
46,Laxay,Sharma,IND,India,F,AAF,Methylhexaneamine,4/21/2014,2,2 years ineligibility,8/5/2016,2.3,0.3,34,Methylhexaneamine,,,2014
47,,Ashwini,IND,India,F,IAAF rule 32.2c,Refusal,12/25/2013,2,2 years ineligibility,4/23/2016,2.3,0.3,34,Refusal,,,2013
48,Shraddha,Tiwari,IND,India,F,AAF ; IAAF rule 32.2f,Methandienone; Possession of a prohibited substance,12/7/2013,2,2 years ineligibility,12/29/2015,2.1,0.1,34,Methandienone,Possession of a prohibited substance,,2013
49,,Manisha,IND,India,F,AAF,Metenolone,3/10/2014,2,2 years ineligibility,4/14/2016,2.1,0.1,34,Metenolone,,,2014
50,Dipti,Chutiya,IND,India,F,AAF,Norandrosterone,11/30/2013,2,2 years ineligibility,12/23/2015,2.1,0.1,34,Norandrosterone,,,2013
51,Ketki,Sethi,IND,India,F,AAF,Norandrosterone,8/16/2014,8,8 years ineligibility,9/2/2022,8.1,0.1,34,Norandrosterone,,,2014
52,,Angeeta,IND,India,F,AAF,Testosterone,5/11/2014,2,2 years ineligibility,6/8/2016,2.1,0.1,34,Testosterone,,,2014
53,Sumit,Malik,IND,India,M,AAF,Drostanolone,12/5/2013,2,2 years ineligibility,5/18/2016,2.5,0.5,34,Drostanolone,,,2013
54,P.B.,Giri,IND,India,M,AAF,Stanozolol,1/25/2010,8,8 years ineligibility (2nd ADRV),7/20/2018,8.5,0.5,34,Stanozolol,,,2010
55,Kulwant,Singh,IND,India,M,AAF,Mephentermine & Testosterone,11/28/2014,2,2 years ineligibility,12/25/2016,2.1,0.1,34,Mephentermine,Testosterone,,2014
56,Surender,Kumar,IND,India,M,AAF,Metandienone & Testosterone,12/6/2013,2,2 years ineligibility,12/29/2015,2.1,0.1,34,Metandienone,Testosterone,,2013
57,Shalendra,Kumar,IND,India,M,AAF,Methylhexaneamine & Trenbolone,3/14/2013,3,3 years ineligibility,4/15/2016,3.1,0.1,34,Methylhexaneamine,Trenbolone,,2013
58,Dharmender,Kumar,IND,India,M,AAF,Boldenone,12/26/2013,2,2 years ineligibility,1/23/2016,2.1,0.1,34,Boldenone,,,2013
59,,Dilyogi,IND,India,M,AAF,Clenbuterol,12/5/2013,2,2 years ineligibility,1/7/2016,2.1,0.1,34,Clenbuterol,,,2013
60,Navtejdeep,Singh,IND,India,M,AAF,Drostanolone,5/9/2014,2,2 years ineligibility,6/4/2016,2.1,0.1,34,Drostanolone,,,2014
61,Naveen,Kumar,IND,India,M,AAF,Exogenous Steroids,6/6/2014,2,2 years ineligibility,7/9/2016,2.1,0.1,34,Exogenous Steroids,,,2014
62,Amit,Malik,IND,India,M,AAF,Exogenous Steroids,8/7/2014,2,2 years ineligibility,9/8/2016,2.1,0.1,34,Exogenous Steroids,,,2014
63,Kamaraj,Gunasekaran,IND,India,M,AAF,Mephentermine,11/12/2014,2,2 years ineligibility,12/1/2016,2.1,0.1,34,Mephentermine,,,2014
64,Parmvir,Singh,IND,India,M,AAF,Metenolone,11/29/2014,2,2 years ineligibility,12/18/2016,2.1,0.1,34,Metenolone,,,2014
65,Sunil,Kumar,IND,India,M,AAF,Methandienone,6/6/2014,2,2 years ineligibility,7/1/2016,2.1,0.1,34,Methandienone,,,2014
66,Karan,Singh,IND,India,M,AAF,Methandienone,9/2/2014,2,2 years ineligibility,9/24/2016,2.1,0.1,34,Methandienone,,,2014
67,Gaurav,Kumar,IND,India,M,AAF,Norandrosterone,9/23/2013,2,2 years ineligibility,10/29/2015,2.1,0.1,34,Norandrosterone,,,2013
68,,Sikender,IND,India,M,AAF,Norandrosterone,8/7/2014,2,2 years ineligibility,8/28/2016,2.1,0.1,34,Norandrosterone,,,2014
69,Harvendra,Singh,IND,India,M,AAF,Norandrosterone,4/29/2014,8,8 years ineligibility,6/2/2022,8.1,0.1,34,Norandrosterone,,,2014
70,Raja,Oomon,IND,India,M,AAF,Stanozolol,5/24/2014,2,2 years ineligibility,6/11/2016,2.1,0.1,34,Stanozolol,,,2014
